algorithm_name,sampler,solutions
Run_45_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.021086561005940335, 28638.345889314434]]"
Run_14_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.0230065443038919, 27963.364757311156]]"
Run_12_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.0230065443038919, 27963.364757311156]]"
Run_16_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.0230065443038919, 27963.364757311156]]"
Run_43_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.021086561005940335, 28638.345889314434]]"
Run_15_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.0230065443038919, 27963.364757311156]]"
Run_33_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_37_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_44_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.021086561005940335, 28638.345889314434]]"
Run_28_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_35_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_17_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_36_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_19_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_3_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.271253805144992, 3262.3935780700053]]"
Run_42_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.021086561005940335, 28638.345889314434]]"
Run_23_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_30_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_39_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_6_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.2565155304919429, 3958.3526416532245]]"
Run_29_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_38_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_11_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.0230065443038919, 27963.364757311156]]"
Run_8_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.2565155304919429, 3958.3526416532245]]"
Run_26_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_22_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_2_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.271253805144992, 3262.3935780700053]]"
Run_9_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.042944279941562975, 6564.2436090409]]"
Run_31_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_4_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.2663460474005952, 3244.0775237893504]]"
Run_25_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_41_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.021086561005940335, 28638.345889314434]]"
Run_13_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.0230065443038919, 27963.364757311156]]"
Run_32_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_18_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_7_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.2565155304919429, 3958.3526416532245]]"
Run_10_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.042944279941562975, 6564.2436090409]]"
Run_40_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_34_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_1_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[1.8296586188203605, 210.83880621721408]]"
Run_21_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_27_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_20_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_24_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.022443508643084056, 28195.66177385347]]"
Run_5_#two_bar_Truss_design_problems,NSGAIISampler,"Any[[0.2663460474005952, 3244.0775237893504]]"
